Temperature_C,Humidity_pct,Wind_Speed_kmh,Spray_Decision,Reason
24.1,59.4,9.9,Safe to Spray,Optimal Conditions
20.2,49.7,14.0,Not Safe to Spray,High Wind (Drift Hazard)
31.4,81.3,19.8,Not Safe to Spray,High Wind (Drift Hazard)
25.9,43.3,23.6,Not Safe to Spray,High Wind (Drift Hazard)
28.1,70.8,0.9,Safe to Spray,Optimal Conditions
34.4,43.2,16.1,Not Safe to Spray,High Wind (Drift Hazard)
29.4,54.8,24.7,Not Safe to Spray,High Wind (Drift Hazard)
33.0,85.9,22.1,Not Safe to Spray,High Wind (Drift Hazard)
20.2,96.9,17.7,Not Safe to Spray,High Wind (Drift Hazard)
24.7,86.2,2.1,Not Safe to Spray,"Too humid, risk of runoff/dilution"
39.7,84.7,16.7,Not Safe to Spray,High Wind (Drift Hazard)
36.9,40.8,11.6,Not Safe to Spray,High Temp (Evaporation Hazard)
33.0,45.6,9.6,Safe to Spray,Optimal Conditions
20.9,60.5,0.1,Safe to Spray,Optimal Conditions
37.3,58.7,15.7,Not Safe to Spray,High Wind (Drift Hazard)
32.4,40.3,24.5,Not Safe to Spray,High Wind (Drift Hazard)
32.2,86.6,15.0,Not Safe to Spray,High Wind (Drift Hazard)
22.3,77.2,15.8,Not Safe to Spray,High Wind (Drift Hazard)
31.4,56.0,15.1,Not Safe to Spray,High Wind (Drift Hazard)
32.7,50.4,9.9,Safe to Spray,Optimal Conditions
34.6,48.2,13.6,Not Safe to Spray,High Wind (Drift Hazard)
21.3,72.9,14.4,Not Safe to Spray,High Wind (Drift Hazard)
36.5,95.7,12.7,Not Safe to Spray,High Wind (Drift Hazard)
20.6,79.9,0.7,Safe to Spray,Optimal Conditions
38.8,58.5,19.3,Not Safe to Spray,High Wind (Drift Hazard)
34.3,62.5,11.1,Not Safe to Spray,High Temp (Evaporation Hazard)
29.6,63.4,6.4,Safe to Spray,Optimal Conditions
20.7,41.0,22.6,Not Safe to Spray,High Wind (Drift Hazard)
28.5,96.7,3.3,Not Safe to Spray,"Too humid, risk of runoff/dilution"
28.6,90.9,1.6,Not Safe to Spray,"Too humid, risk of runoff/dilution"
37.9,45.3,24.6,Not Safe to Spray,High Wind (Drift Hazard)
37.5,87.3,1.8,Not Safe to Spray,High Temp (Evaporation Hazard)
35.1,42.7,22.9,Not Safe to Spray,High Wind (Drift Hazard)
21.8,41.0,14.0,Not Safe to Spray,High Wind (Drift Hazard)
23.3,87.3,23.7,Not Safe to Spray,High Wind (Drift Hazard)
22.1,45.2,14.0,Not Safe to Spray,High Wind (Drift Hazard)
28.0,97.3,4.3,Not Safe to Spray,"Too humid, risk of runoff/dilution"
22.1,48.4,0.1,Safe to Spray,Optimal Conditions
31.7,89.8,10.3,Not Safe to Spray,"Too humid, risk of runoff/dilution"
38.1,50.7,25.0,Not Safe to Spray,High Wind (Drift Hazard)
22.5,88.7,16.7,Not Safe to Spray,High Wind (Drift Hazard)
37.3,65.4,4.9,Not Safe to Spray,High Temp (Evaporation Hazard)
29.3,79.9,22.5,Not Safe to Spray,High Wind (Drift Hazard)
30.4,47.6,11.4,Safe to Spray,Optimal Conditions
20.1,88.4,5.2,Not Safe to Spray,"Too humid, risk of runoff/dilution"
21.9,58.5,2.0,Safe to Spray,Optimal Conditions
28.7,88.9,18.1,Not Safe to Spray,High Wind (Drift Hazard)
25.1,82.4,15.7,Not Safe to Spray,High Wind (Drift Hazard)
34.5,90.4,15.5,Not Safe to Spray,High Wind (Drift Hazard)
32.4,43.9,14.9,Not Safe to Spray,High Wind (Drift Hazard)
36.1,77.1,0.1,Not Safe to Spray,High Temp (Evaporation Hazard)
24.3,68.1,8.8,Safe to Spray,Optimal Conditions
24.7,58.2,23.2,Not Safe to Spray,High Wind (Drift Hazard)
33.6,70.8,12.7,Not Safe to Spray,High Wind (Drift Hazard)
21.7,74.4,21.2,Not Safe to Spray,High Wind (Drift Hazard)
24.4,76.8,13.8,Not Safe to Spray,High Wind (Drift Hazard)
33.7,88.7,10.0,Not Safe to Spray,High Temp (Evaporation Hazard)
32.3,56.5,8.7,Safe to Spray,Optimal Conditions
26.5,41.4,17.1,Not Safe to Spray,High Wind (Drift Hazard)
36.8,46.2,24.1,Not Safe to Spray,High Wind (Drift Hazard)
31.9,40.6,14.6,Not Safe to Spray,High Wind (Drift Hazard)
33.8,80.5,16.8,Not Safe to Spray,High Wind (Drift Hazard)
29.8,73.0,2.4,Safe to Spray,Optimal Conditions
25.5,97.4,0.5,Not Safe to Spray,"Too humid, risk of runoff/dilution"
21.2,94.2,10.7,Not Safe to Spray,"Too humid, risk of runoff/dilution"
25.5,71.8,22.4,Not Safe to Spray,High Wind (Drift Hazard)
34.3,79.3,6.7,Not Safe to Spray,High Temp (Evaporation Hazard)
29.0,78.2,2.8,Safe to Spray,Optimal Conditions
38.7,77.4,4.5,Not Safe to Spray,High Temp (Evaporation Hazard)
33.6,65.2,8.5,Not Safe to Spray,High Temp (Evaporation Hazard)
30.2,81.0,12.2,Not Safe to Spray,High Wind (Drift Hazard)
35.6,64.4,2.4,Not Safe to Spray,High Temp (Evaporation Hazard)
20.0,74.9,1.7,Safe to Spray,Optimal Conditions
23.9,41.5,4.1,Safe to Spray,Optimal Conditions
21.5,75.5,12.6,Not Safe to Spray,High Wind (Drift Hazard)
21.8,69.9,19.0,Not Safe to Spray,High Wind (Drift Hazard)
28.9,87.6,17.3,Not Safe to Spray,High Wind (Drift Hazard)
21.8,59.9,9.2,Safe to Spray,Optimal Conditions
24.5,77.8,6.0,Safe to Spray,Optimal Conditions
25.5,93.4,15.7,Not Safe to Spray,High Wind (Drift Hazard)
37.1,42.5,11.6,Not Safe to Spray,High Temp (Evaporation Hazard)
29.8,73.6,10.5,Safe to Spray,Optimal Conditions
20.6,94.2,7.9,Not Safe to Spray,"Too humid, risk of runoff/dilution"
25.7,77.1,24.2,Not Safe to Spray,High Wind (Drift Hazard)
39.3,74.4,16.0,Not Safe to Spray,High Wind (Drift Hazard)
32.0,46.8,9.3,Safe to Spray,Optimal Conditions
29.4,51.3,0.7,Safe to Spray,Optimal Conditions
37.8,63.7,21.9,Not Safe to Spray,High Wind (Drift Hazard)
20.8,76.2,10.6,Safe to Spray,Optimal Conditions
29.8,77.3,0.5,Safe to Spray,Optimal Conditions
21.7,89.7,1.3,Not Safe to Spray,"Too humid, risk of runoff/dilution"
39.7,71.5,23.9,Not Safe to Spray,High Wind (Drift Hazard)
32.1,87.7,13.7,Not Safe to Spray,High Wind (Drift Hazard)
20.7,46.0,5.0,Safe to Spray,Optimal Conditions
22.9,85.3,16.1,Not Safe to Spray,High Wind (Drift Hazard)
31.5,56.5,19.6,Not Safe to Spray,High Wind (Drift Hazard)
32.1,75.0,6.4,Safe to Spray,Optimal Conditions
37.6,72.2,21.3,Not Safe to Spray,High Wind (Drift Hazard)
22.8,71.8,5.0,Safe to Spray,Optimal Conditions
24.2,43.4,17.0,Not Safe to Spray,High Wind (Drift Hazard)
22.0,73.0,8.3,Safe to Spray,Optimal Conditions
22.9,47.3,12.9,Not Safe to Spray,High Wind (Drift Hazard)
32.2,51.4,3.2,Safe to Spray,Optimal Conditions
22.8,44.9,21.6,Not Safe to Spray,High Wind (Drift Hazard)
38.8,59.9,2.3,Not Safe to Spray,High Temp (Evaporation Hazard)
22.2,90.9,2.3,Not Safe to Spray,"Too humid, risk of runoff/dilution"
29.8,69.0,20.9,Not Safe to Spray,High Wind (Drift Hazard)
37.2,69.1,16.3,Not Safe to Spray,High Wind (Drift Hazard)
28.7,92.5,5.2,Not Safe to Spray,"Too humid, risk of runoff/dilution"
20.3,50.2,18.9,Not Safe to Spray,High Wind (Drift Hazard)
31.0,98.8,6.9,Not Safe to Spray,"Too humid, risk of runoff/dilution"
39.9,45.3,6.7,Not Safe to Spray,High Temp (Evaporation Hazard)
23.3,94.1,15.7,Not Safe to Spray,High Wind (Drift Hazard)
21.6,54.9,14.2,Not Safe to Spray,High Wind (Drift Hazard)
22.0,41.2,4.7,Safe to Spray,Optimal Conditions
37.6,79.0,21.0,Not Safe to Spray,High Wind (Drift Hazard)
28.9,82.6,12.2,Not Safe to Spray,High Wind (Drift Hazard)
34.8,41.2,6.9,Not Safe to Spray,High Temp (Evaporation Hazard)
36.5,89.8,23.4,Not Safe to Spray,High Wind (Drift Hazard)
35.3,74.2,5.9,Not Safe to Spray,High Temp (Evaporation Hazard)
26.2,65.7,8.7,Safe to Spray,Optimal Conditions
20.5,98.7,14.1,Not Safe to Spray,High Wind (Drift Hazard)
32.4,94.7,2.3,Not Safe to Spray,"Too humid, risk of runoff/dilution"
25.5,75.5,0.6,Safe to Spray,Optimal Conditions
27.4,47.3,14.3,Not Safe to Spray,High Wind (Drift Hazard)
25.6,86.2,9.9,Not Safe to Spray,"Too humid, risk of runoff/dilution"
21.8,65.8,8.4,Safe to Spray,Optimal Conditions
39.1,76.5,19.6,Not Safe to Spray,High Wind (Drift Hazard)
36.5,51.1,12.9,Not Safe to Spray,High Wind (Drift Hazard)
29.8,96.6,2.5,Not Safe to Spray,"Too humid, risk of runoff/dilution"
30.4,53.9,7.0,Safe to Spray,Optimal Conditions
34.6,80.6,22.8,Not Safe to Spray,High Wind (Drift Hazard)
22.1,79.5,14.8,Not Safe to Spray,High Wind (Drift Hazard)
36.5,73.6,22.1,Not Safe to Spray,High Wind (Drift Hazard)
30.9,85.9,22.7,Not Safe to Spray,High Wind (Drift Hazard)
24.2,98.6,17.0,Not Safe to Spray,High Wind (Drift Hazard)
29.5,47.4,22.6,Not Safe to Spray,High Wind (Drift Hazard)
27.1,65.4,23.0,Not Safe to Spray,High Wind (Drift Hazard)
28.1,55.6,21.2,Not Safe to Spray,High Wind (Drift Hazard)
25.9,64.4,2.8,Safe to Spray,Optimal Conditions
33.1,51.1,1.1,Not Safe to Spray,High Temp (Evaporation Hazard)
33.6,98.8,15.2,Not Safe to Spray,High Wind (Drift Hazard)
21.1,73.9,0.6,Safe to Spray,Optimal Conditions
37.8,87.6,17.9,Not Safe to Spray,High Wind (Drift Hazard)
32.1,45.0,14.5,Not Safe to Spray,High Wind (Drift Hazard)
26.3,45.5,11.8,Safe to Spray,Optimal Conditions
36.9,94.6,16.6,Not Safe to Spray,High Wind (Drift Hazard)
35.9,60.2,2.8,Not Safe to Spray,High Temp (Evaporation Hazard)
24.3,60.9,15.6,Not Safe to Spray,High Wind (Drift Hazard)
31.7,41.6,16.3,Not Safe to Spray,High Wind (Drift Hazard)
35.2,79.1,7.4,Not Safe to Spray,High Temp (Evaporation Hazard)
21.8,50.5,5.9,Safe to Spray,Optimal Conditions
25.0,50.8,21.0,Not Safe to Spray,High Wind (Drift Hazard)
36.4,84.6,11.8,Not Safe to Spray,High Temp (Evaporation Hazard)
36.7,65.8,3.3,Not Safe to Spray,High Temp (Evaporation Hazard)
34.3,48.5,18.5,Not Safe to Spray,High Wind (Drift Hazard)
28.0,85.5,1.1,Not Safe to Spray,"Too humid, risk of runoff/dilution"
20.8,79.3,17.4,Not Safe to Spray,High Wind (Drift Hazard)
30.2,60.6,2.9,Safe to Spray,Optimal Conditions
37.7,75.3,22.4,Not Safe to Spray,High Wind (Drift Hazard)
36.1,48.5,17.7,Not Safe to Spray,High Wind (Drift Hazard)
36.2,58.1,24.8,Not Safe to Spray,High Wind (Drift Hazard)
35.0,89.7,24.2,Not Safe to Spray,High Wind (Drift Hazard)
22.6,72.7,13.9,Not Safe to Spray,High Wind (Drift Hazard)
36.0,42.8,4.2,Not Safe to Spray,High Temp (Evaporation Hazard)
35.5,69.2,14.4,Not Safe to Spray,High Wind (Drift Hazard)
22.5,42.7,5.9,Safe to Spray,Optimal Conditions
35.8,61.7,5.6,Not Safe to Spray,High Temp (Evaporation Hazard)
39.9,89.3,11.9,Not Safe to Spray,High Temp (Evaporation Hazard)
35.0,58.3,1.1,Not Safe to Spray,High Temp (Evaporation Hazard)
27.6,88.9,23.3,Not Safe to Spray,High Wind (Drift Hazard)
37.3,50.7,2.6,Not Safe to Spray,High Temp (Evaporation Hazard)
28.2,58.7,18.9,Not Safe to Spray,High Wind (Drift Hazard)
26.5,87.5,4.8,Not Safe to Spray,"Too humid, risk of runoff/dilution"
24.9,79.8,23.3,Not Safe to Spray,High Wind (Drift Hazard)
29.6,69.0,13.5,Not Safe to Spray,High Wind (Drift Hazard)
21.1,41.1,5.4,Safe to Spray,Optimal Conditions
33.5,97.3,0.9,Not Safe to Spray,High Temp (Evaporation Hazard)
23.4,93.8,8.5,Not Safe to Spray,"Too humid, risk of runoff/dilution"
23.0,82.7,23.8,Not Safe to Spray,High Wind (Drift Hazard)
30.6,56.2,1.6,Safe to Spray,Optimal Conditions
29.7,46.0,13.8,Not Safe to Spray,High Wind (Drift Hazard)
20.3,63.6,21.3,Not Safe to Spray,High Wind (Drift Hazard)
26.0,42.0,8.0,Safe to Spray,Optimal Conditions
33.3,65.7,4.2,Not Safe to Spray,High Temp (Evaporation Hazard)
26.3,60.6,18.9,Not Safe to Spray,High Wind (Drift Hazard)
21.4,46.3,3.8,Safe to Spray,Optimal Conditions
38.0,60.2,3.6,Not Safe to Spray,High Temp (Evaporation Hazard)
39.5,77.6,15.3,Not Safe to Spray,High Wind (Drift Hazard)
36.4,82.4,13.0,Not Safe to Spray,High Wind (Drift Hazard)
27.5,55.4,9.3,Safe to Spray,Optimal Conditions
23.7,90.0,3.8,Not Safe to Spray,"Too humid, risk of runoff/dilution"
39.0,52.8,16.9,Not Safe to Spray,High Wind (Drift Hazard)
28.4,97.1,14.1,Not Safe to Spray,High Wind (Drift Hazard)
36.0,56.9,0.4,Not Safe to Spray,High Temp (Evaporation Hazard)
26.8,75.2,13.2,Not Safe to Spray,High Wind (Drift Hazard)
28.8,68.0,5.9,Safe to Spray,Optimal Conditions
21.6,94.8,4.0,Not Safe to Spray,"Too humid, risk of runoff/dilution"
24.3,49.5,0.3,Safe to Spray,Optimal Conditions
35.6,98.5,10.5,Not Safe to Spray,High Temp (Evaporation Hazard)
35.4,79.1,18.7,Not Safe to Spray,High Wind (Drift Hazard)
29.3,90.5,22.9,Not Safe to Spray,High Wind (Drift Hazard)
28.6,47.1,23.7,Not Safe to Spray,High Wind (Drift Hazard)
20.5,58.1,10.7,Safe to Spray,Optimal Conditions
38.9,86.9,15.7,Not Safe to Spray,High Wind (Drift Hazard)
39.6,46.5,0.6,Not Safe to Spray,High Temp (Evaporation Hazard)
38.6,87.6,9.2,Not Safe to Spray,High Temp (Evaporation Hazard)
29.8,75.8,11.2,Safe to Spray,Optimal Conditions
32.5,89.2,11.1,Not Safe to Spray,"Too humid, risk of runoff/dilution"
22.7,94.0,8.0,Not Safe to Spray,"Too humid, risk of runoff/dilution"
24.1,62.6,21.4,Not Safe to Spray,High Wind (Drift Hazard)
33.1,94.1,8.9,Not Safe to Spray,High Temp (Evaporation Hazard)
27.2,97.2,13.0,Not Safe to Spray,High Wind (Drift Hazard)
39.3,65.1,17.9,Not Safe to Spray,High Wind (Drift Hazard)
22.1,90.9,17.0,Not Safe to Spray,High Wind (Drift Hazard)
27.8,69.6,20.1,Not Safe to Spray,High Wind (Drift Hazard)
39.6,87.6,21.7,Not Safe to Spray,High Wind (Drift Hazard)
24.9,66.7,24.9,Not Safe to Spray,High Wind (Drift Hazard)
30.3,47.0,1.6,Safe to Spray,Optimal Conditions
36.7,66.7,9.7,Not Safe to Spray,High Temp (Evaporation Hazard)
34.9,65.1,10.6,Not Safe to Spray,High Temp (Evaporation Hazard)
25.3,68.4,24.2,Not Safe to Spray,High Wind (Drift Hazard)
38.7,50.7,19.4,Not Safe to Spray,High Wind (Drift Hazard)
24.8,68.3,22.2,Not Safe to Spray,High Wind (Drift Hazard)
33.9,72.3,12.1,Not Safe to Spray,High Wind (Drift Hazard)
24.4,77.5,24.1,Not Safe to Spray,High Wind (Drift Hazard)
35.2,88.0,22.5,Not Safe to Spray,High Wind (Drift Hazard)
24.6,41.7,5.7,Safe to Spray,Optimal Conditions
33.1,76.0,24.7,Not Safe to Spray,High Wind (Drift Hazard)
29.9,71.0,1.8,Safe to Spray,Optimal Conditions
24.1,71.7,22.0,Not Safe to Spray,High Wind (Drift Hazard)
37.3,52.3,19.9,Not Safe to Spray,High Wind (Drift Hazard)
24.2,88.0,20.7,Not Safe to Spray,High Wind (Drift Hazard)
29.9,87.2,9.3,Not Safe to Spray,"Too humid, risk of runoff/dilution"
20.1,79.7,1.0,Safe to Spray,Optimal Conditions
28.3,53.1,21.1,Not Safe to Spray,High Wind (Drift Hazard)
37.0,75.9,3.2,Not Safe to Spray,High Temp (Evaporation Hazard)
24.0,76.6,14.7,Not Safe to Spray,High Wind (Drift Hazard)
26.6,61.0,23.8,Not Safe to Spray,High Wind (Drift Hazard)
37.2,56.8,16.9,Not Safe to Spray,High Wind (Drift Hazard)
39.1,85.2,19.2,Not Safe to Spray,High Wind (Drift Hazard)
26.4,55.4,18.5,Not Safe to Spray,High Wind (Drift Hazard)
30.5,91.7,4.5,Not Safe to Spray,"Too humid, risk of runoff/dilution"
20.5,93.5,14.9,Not Safe to Spray,High Wind (Drift Hazard)
34.3,86.0,10.0,Not Safe to Spray,High Temp (Evaporation Hazard)
33.8,92.5,6.2,Not Safe to Spray,High Temp (Evaporation Hazard)
38.2,80.2,19.9,Not Safe to Spray,High Wind (Drift Hazard)
29.3,72.8,15.0,Not Safe to Spray,High Wind (Drift Hazard)
26.3,51.9,2.7,Safe to Spray,Optimal Conditions
31.8,53.1,15.1,Not Safe to Spray,High Wind (Drift Hazard)
23.2,55.3,7.4,Safe to Spray,Optimal Conditions
38.8,70.2,10.0,Not Safe to Spray,High Temp (Evaporation Hazard)
33.3,50.7,6.8,Not Safe to Spray,High Temp (Evaporation Hazard)
29.8,96.6,22.2,Not Safe to Spray,High Wind (Drift Hazard)
36.5,58.8,2.7,Not Safe to Spray,High Temp (Evaporation Hazard)
27.4,51.9,13.2,Not Safe to Spray,High Wind (Drift Hazard)
27.1,62.8,24.1,Not Safe to Spray,High Wind (Drift Hazard)
24.0,76.4,4.1,Safe to Spray,Optimal Conditions
39.0,97.7,16.2,Not Safe to Spray,High Wind (Drift Hazard)
39.0,84.4,0.7,Not Safe to Spray,High Temp (Evaporation Hazard)
25.1,61.9,11.0,Safe to Spray,Optimal Conditions
38.2,43.3,22.7,Not Safe to Spray,High Wind (Drift Hazard)
38.2,87.2,23.7,Not Safe to Spray,High Wind (Drift Hazard)
29.6,59.7,17.1,Not Safe to Spray,High Wind (Drift Hazard)
28.3,65.0,8.0,Safe to Spray,Optimal Conditions
29.3,69.0,5.6,Safe to Spray,Optimal Conditions
30.7,56.9,22.8,Not Safe to Spray,High Wind (Drift Hazard)
28.8,96.0,7.7,Not Safe to Spray,"Too humid, risk of runoff/dilution"
25.1,46.8,17.3,Not Safe to Spray,High Wind (Drift Hazard)
23.8,97.0,11.3,Not Safe to Spray,"Too humid, risk of runoff/dilution"
25.7,46.5,4.7,Safe to Spray,Optimal Conditions
33.1,65.2,3.9,Not Safe to Spray,High Temp (Evaporation Hazard)
34.6,63.6,19.6,Not Safe to Spray,High Wind (Drift Hazard)
37.6,62.1,8.3,Not Safe to Spray,High Temp (Evaporation Hazard)
37.2,49.5,23.1,Not Safe to Spray,High Wind (Drift Hazard)
34.6,95.1,14.5,Not Safe to Spray,High Wind (Drift Hazard)
27.1,92.7,5.6,Not Safe to Spray,"Too humid, risk of runoff/dilution"
23.1,50.9,22.6,Not Safe to Spray,High Wind (Drift Hazard)
23.6,46.7,21.5,Not Safe to Spray,High Wind (Drift Hazard)
27.8,59.2,19.8,Not Safe to Spray,High Wind (Drift Hazard)
36.1,71.8,15.0,Not Safe to Spray,High Wind (Drift Hazard)
35.8,71.4,19.2,Not Safe to Spray,High Wind (Drift Hazard)
26.4,98.1,12.5,Not Safe to Spray,High Wind (Drift Hazard)
36.2,76.7,18.3,Not Safe to Spray,High Wind (Drift Hazard)
26.0,62.7,5.8,Safe to Spray,Optimal Conditions
30.1,75.6,11.7,Safe to Spray,Optimal Conditions
33.6,72.0,20.0,Not Safe to Spray,High Wind (Drift Hazard)
35.1,84.4,18.9,Not Safe to Spray,High Wind (Drift Hazard)
23.8,79.1,10.4,Safe to Spray,Optimal Conditions
26.6,72.1,7.6,Safe to Spray,Optimal Conditions
33.5,93.4,16.3,Not Safe to Spray,High Wind (Drift Hazard)
20.9,91.8,11.9,Not Safe to Spray,"Too humid, risk of runoff/dilution"
33.7,59.7,5.7,Not Safe to Spray,High Temp (Evaporation Hazard)
20.6,53.7,12.1,Not Safe to Spray,High Wind (Drift Hazard)
23.5,68.5,11.6,Safe to Spray,Optimal Conditions
23.9,93.7,20.4,Not Safe to Spray,High Wind (Drift Hazard)
32.2,45.7,20.0,Not Safe to Spray,High Wind (Drift Hazard)
34.9,47.7,17.5,Not Safe to Spray,High Wind (Drift Hazard)
31.5,93.4,8.2,Not Safe to Spray,"Too humid, risk of runoff/dilution"
36.8,62.3,15.8,Not Safe to Spray,High Wind (Drift Hazard)
36.6,45.3,11.2,Not Safe to Spray,High Temp (Evaporation Hazard)
39.2,87.6,12.8,Not Safe to Spray,High Wind (Drift Hazard)
20.3,81.3,10.7,Safe to Spray,Optimal Conditions
26.9,81.8,24.1,Not Safe to Spray,High Wind (Drift Hazard)
24.6,94.0,8.5,Not Safe to Spray,"Too humid, risk of runoff/dilution"
25.0,81.1,1.6,Safe to Spray,Optimal Conditions
32.2,52.5,16.7,Not Safe to Spray,High Wind (Drift Hazard)
32.2,52.9,23.8,Not Safe to Spray,High Wind (Drift Hazard)
23.7,77.4,4.2,Safe to Spray,Optimal Conditions
20.8,98.2,12.5,Not Safe to Spray,High Wind (Drift Hazard)
25.1,51.4,18.0,Not Safe to Spray,High Wind (Drift Hazard)
28.6,81.7,14.2,Not Safe to Spray,High Wind (Drift Hazard)
20.0,73.2,21.9,Not Safe to Spray,High Wind (Drift Hazard)
25.7,91.4,8.1,Not Safe to Spray,"Too humid, risk of runoff/dilution"
34.0,61.0,0.6,Not Safe to Spray,High Temp (Evaporation Hazard)
28.4,60.2,16.3,Not Safe to Spray,High Wind (Drift Hazard)
36.3,74.0,12.3,Not Safe to Spray,High Wind (Drift Hazard)
37.2,47.4,16.2,Not Safe to Spray,High Wind (Drift Hazard)
39.0,78.5,5.9,Not Safe to Spray,High Temp (Evaporation Hazard)
27.2,89.3,14.7,Not Safe to Spray,High Wind (Drift Hazard)
35.7,92.0,0.9,Not Safe to Spray,High Temp (Evaporation Hazard)
38.4,71.7,18.2,Not Safe to Spray,High Wind (Drift Hazard)
24.9,92.7,15.6,Not Safe to Spray,High Wind (Drift Hazard)
23.0,64.2,11.2,Safe to Spray,Optimal Conditions
38.6,48.9,16.4,Not Safe to Spray,High Wind (Drift Hazard)
21.9,95.9,23.9,Not Safe to Spray,High Wind (Drift Hazard)
33.5,44.5,12.5,Not Safe to Spray,High Wind (Drift Hazard)
33.7,48.3,19.5,Not Safe to Spray,High Wind (Drift Hazard)
28.0,62.2,8.9,Safe to Spray,Optimal Conditions
39.0,55.2,9.4,Not Safe to Spray,High Temp (Evaporation Hazard)
26.0,56.1,15.6,Not Safe to Spray,High Wind (Drift Hazard)
32.1,72.1,2.5,Safe to Spray,Optimal Conditions
39.1,93.9,16.5,Not Safe to Spray,High Wind (Drift Hazard)
24.0,52.6,19.7,Not Safe to Spray,High Wind (Drift Hazard)
20.2,87.3,16.1,Not Safe to Spray,High Wind (Drift Hazard)
39.0,69.6,18.3,Not Safe to Spray,High Wind (Drift Hazard)
24.8,77.4,3.6,Safe to Spray,Optimal Conditions
37.3,90.6,21.9,Not Safe to Spray,High Wind (Drift Hazard)
33.7,56.1,1.8,Not Safe to Spray,High Temp (Evaporation Hazard)
35.9,61.6,16.1,Not Safe to Spray,High Wind (Drift Hazard)
35.5,68.0,14.6,Not Safe to Spray,High Wind (Drift Hazard)
38.1,53.1,20.6,Not Safe to Spray,High Wind (Drift Hazard)
39.6,98.8,17.6,Not Safe to Spray,High Wind (Drift Hazard)
39.8,46.0,19.8,Not Safe to Spray,High Wind (Drift Hazard)
32.2,64.3,20.7,Not Safe to Spray,High Wind (Drift Hazard)
28.6,48.8,18.3,Not Safe to Spray,High Wind (Drift Hazard)
30.2,80.8,23.1,Not Safe to Spray,High Wind (Drift Hazard)
39.1,93.5,19.5,Not Safe to Spray,High Wind (Drift Hazard)
30.2,73.7,7.6,Safe to Spray,Optimal Conditions
32.5,52.1,11.8,Safe to Spray,Optimal Conditions
24.5,49.6,9.6,Safe to Spray,Optimal Conditions
37.0,47.9,19.1,Not Safe to Spray,High Wind (Drift Hazard)
35.7,54.8,1.7,Not Safe to Spray,High Temp (Evaporation Hazard)
36.8,88.5,20.4,Not Safe to Spray,High Wind (Drift Hazard)
34.0,67.5,3.1,Not Safe to Spray,High Temp (Evaporation Hazard)
38.0,85.3,13.2,Not Safe to Spray,High Wind (Drift Hazard)
39.5,77.7,10.9,Not Safe to Spray,High Temp (Evaporation Hazard)
38.3,78.0,22.6,Not Safe to Spray,High Wind (Drift Hazard)
