Crop_Type,Crop_Stage,Season,Temperature_C,Humidity_pct,Disease_Risk_Label
Maize,Yielding,Kharif,38.5,50.9,Healthy_Low_Risk
Cotton,Flowering,Kharif,26.6,79.6,Healthy_Low_Risk
Maize,Yielding,Kharif,27.3,87.9,Healthy_Low_Risk
Maize,Yielding,Zaid,32.7,44.6,Healthy_Low_Risk
Maize,Yielding,Zaid,32.1,74.2,Healthy_Low_Risk
Groundnut,Vegetative,Kharif,27.5,62.2,Healthy_Low_Risk
Cotton,Yielding,Zaid,32.6,80.8,Healthy_Low_Risk
Groundnut,Yielding,Rabi,39.9,58.3,Healthy_Low_Risk
Sugarcane,Vegetative,Zaid,31.3,72.2,Healthy_Low_Risk
Groundnut,Vegetative,Kharif,24.6,40.7,Healthy_Low_Risk
Cotton,Flowering,Kharif,29.7,91.5,Healthy_Low_Risk
Groundnut,Flowering,Kharif,29.2,45.2,Healthy_Low_Risk
Rice,Yielding,Zaid,27.0,78.5,Healthy_Low_Risk
Maize,Vegetative,Kharif,26.2,57.9,Healthy_Low_Risk
Maize,Vegetative,Zaid,38.3,49.9,Healthy_Low_Risk
Rice,Vegetative,Rabi,37.7,41.6,Healthy_Low_Risk
Maize,Vegetative,Rabi,32.4,73.7,Healthy_Low_Risk
Rice,Yielding,Kharif,37.2,96.1,High_Risk_Bacterial_Blight
Groundnut,Vegetative,Zaid,34.2,54.7,Healthy_Low_Risk
Sugarcane,Flowering,Kharif,39.0,97.1,High_Risk_Red_Rot
Maize,Flowering,Kharif,31.5,83.7,Healthy_Low_Risk
Maize,Yielding,Zaid,28.5,41.0,Healthy_Low_Risk
Groundnut,Yielding,Rabi,36.0,85.0,High_Risk_Tikka_Disease
Cotton,Flowering,Zaid,26.2,86.4,Healthy_Low_Risk
Cotton,Flowering,Zaid,24.5,95.5,Healthy_Low_Risk
Cotton,Vegetative,Zaid,34.1,44.3,High_Risk_Whitefly
Groundnut,Flowering,Zaid,27.0,66.1,Healthy_Low_Risk
Sugarcane,Vegetative,Rabi,27.8,45.2,Healthy_Low_Risk
Groundnut,Vegetative,Zaid,39.1,66.9,Healthy_Low_Risk
Cotton,Yielding,Rabi,23.7,45.4,Healthy_Low_Risk
Groundnut,Yielding,Zaid,26.7,71.5,Healthy_Low_Risk
Maize,Flowering,Kharif,35.8,87.9,Healthy_Low_Risk
Rice,Flowering,Rabi,38.5,77.7,Healthy_Low_Risk
Rice,Flowering,Kharif,31.2,73.4,Healthy_Low_Risk
Maize,Yielding,Zaid,37.9,54.2,Healthy_Low_Risk
Maize,Vegetative,Rabi,24.3,92.7,Healthy_Low_Risk
Sugarcane,Flowering,Rabi,33.8,86.6,Healthy_Low_Risk
Groundnut,Vegetative,Kharif,29.2,93.4,Healthy_Low_Risk
Sugarcane,Vegetative,Zaid,26.4,66.7,Healthy_Low_Risk
Rice,Flowering,Zaid,33.2,78.7,Healthy_Low_Risk
Sugarcane,Vegetative,Zaid,28.4,89.3,Healthy_Low_Risk
Groundnut,Yielding,Rabi,24.4,68.8,Healthy_Low_Risk
Sugarcane,Flowering,Zaid,35.5,61.1,Healthy_Low_Risk
Sugarcane,Yielding,Zaid,39.9,73.4,Healthy_Low_Risk
Groundnut,Flowering,Rabi,29.9,49.8,Healthy_Low_Risk
Maize,Flowering,Kharif,25.9,41.6,Healthy_Low_Risk
Sugarcane,Flowering,Zaid,30.5,87.9,Healthy_Low_Risk
Groundnut,Vegetative,Kharif,30.5,71.6,Healthy_Low_Risk
Rice,Yielding,Rabi,30.2,82.6,Healthy_Low_Risk
Groundnut,Vegetative,Zaid,32.2,64.3,Healthy_Low_Risk
Cotton,Yielding,Zaid,23.2,87.0,Healthy_Low_Risk
Rice,Flowering,Zaid,35.4,41.4,Healthy_Low_Risk
Groundnut,Flowering,Kharif,28.9,96.8,Healthy_Low_Risk
Rice,Vegetative,Kharif,24.5,63.7,Healthy_Low_Risk
Cotton,Vegetative,Rabi,32.6,90.1,Healthy_Low_Risk
Maize,Vegetative,Zaid,34.9,40.6,Healthy_Low_Risk
Rice,Flowering,Rabi,37.7,76.7,Healthy_Low_Risk
Cotton,Flowering,Kharif,39.4,97.5,Healthy_Low_Risk
Rice,Flowering,Zaid,36.5,54.0,Healthy_Low_Risk
Sugarcane,Yielding,Kharif,35.2,82.5,Healthy_Low_Risk
Sugarcane,Vegetative,Zaid,29.2,62.3,Healthy_Low_Risk
Sugarcane,Flowering,Rabi,34.1,56.2,Healthy_Low_Risk
Cotton,Yielding,Kharif,22.4,42.9,Healthy_Low_Risk
Sugarcane,Yielding,Rabi,24.8,63.7,Healthy_Low_Risk
Maize,Yielding,Rabi,24.0,42.2,Healthy_Low_Risk
Maize,Vegetative,Kharif,25.6,96.6,Healthy_Low_Risk
Maize,Flowering,Rabi,27.6,53.6,Healthy_Low_Risk
Cotton,Vegetative,Kharif,39.7,46.5,High_Risk_Whitefly
Groundnut,Yielding,Zaid,25.6,46.5,Healthy_Low_Risk
Sugarcane,Vegetative,Rabi,35.3,81.5,Healthy_Low_Risk
Rice,Flowering,Kharif,31.3,41.9,Healthy_Low_Risk
Cotton,Flowering,Rabi,26.4,83.6,Healthy_Low_Risk
Maize,Vegetative,Zaid,33.8,75.1,Healthy_Low_Risk
Sugarcane,Flowering,Kharif,39.3,93.1,High_Risk_Red_Rot
Groundnut,Yielding,Zaid,29.6,53.6,Healthy_Low_Risk
Cotton,Yielding,Kharif,29.4,49.3,Healthy_Low_Risk
Rice,Vegetative,Rabi,29.4,61.1,Healthy_Low_Risk
Cotton,Flowering,Zaid,31.2,69.1,Healthy_Low_Risk
Rice,Vegetative,Rabi,39.3,86.4,High_Risk_Bacterial_Blight
Rice,Vegetative,Zaid,28.1,91.8,High_Risk_Rice_Blast
Maize,Yielding,Zaid,32.7,95.8,Healthy_Low_Risk
Cotton,Flowering,Kharif,32.0,42.1,Healthy_Low_Risk
Cotton,Yielding,Rabi,36.8,51.3,High_Risk_Whitefly
Groundnut,Vegetative,Rabi,28.9,87.2,Healthy_Low_Risk
Sugarcane,Vegetative,Rabi,30.7,76.3,Healthy_Low_Risk
Groundnut,Flowering,Kharif,28.6,68.8,Healthy_Low_Risk
Sugarcane,Flowering,Kharif,34.1,49.9,Healthy_Low_Risk
Sugarcane,Flowering,Kharif,31.3,89.0,Healthy_Low_Risk
Groundnut,Yielding,Kharif,37.0,52.4,Healthy_Low_Risk
Maize,Yielding,Zaid,29.6,69.2,Healthy_Low_Risk
Cotton,Vegetative,Zaid,35.4,61.0,Healthy_Low_Risk
Sugarcane,Yielding,Rabi,38.5,46.5,Healthy_Low_Risk
Cotton,Flowering,Rabi,30.5,57.5,Healthy_Low_Risk
Groundnut,Yielding,Kharif,27.4,61.0,Healthy_Low_Risk
Maize,Flowering,Rabi,28.1,53.9,Healthy_Low_Risk
Sugarcane,Vegetative,Rabi,31.0,74.9,Healthy_Low_Risk
Groundnut,Flowering,Rabi,22.3,53.4,Healthy_Low_Risk
Cotton,Vegetative,Kharif,39.4,60.6,Healthy_Low_Risk
Rice,Flowering,Zaid,29.5,62.5,Healthy_Low_Risk
Groundnut,Flowering,Zaid,38.6,69.3,Healthy_Low_Risk
Groundnut,Vegetative,Kharif,22.5,90.7,Healthy_Low_Risk
Cotton,Flowering,Zaid,26.2,58.4,Healthy_Low_Risk
Cotton,Vegetative,Kharif,37.3,96.6,Healthy_Low_Risk
Cotton,Yielding,Rabi,31.4,41.7,Healthy_Low_Risk
Maize,Flowering,Zaid,26.4,96.7,Healthy_Low_Risk
Groundnut,Vegetative,Rabi,28.6,93.9,Healthy_Low_Risk
Cotton,Flowering,Zaid,35.5,68.6,Healthy_Low_Risk
Groundnut,Flowering,Kharif,26.2,70.2,Healthy_Low_Risk
Cotton,Yielding,Zaid,38.7,79.7,Healthy_Low_Risk
Sugarcane,Flowering,Kharif,22.1,78.3,Healthy_Low_Risk
Sugarcane,Vegetative,Kharif,37.0,70.4,Healthy_Low_Risk
Groundnut,Flowering,Zaid,30.9,50.7,Healthy_Low_Risk
Rice,Flowering,Zaid,38.1,83.5,High_Risk_Bacterial_Blight
Sugarcane,Yielding,Rabi,30.5,88.4,Healthy_Low_Risk
Rice,Vegetative,Zaid,30.8,51.3,Healthy_Low_Risk
Groundnut,Vegetative,Rabi,32.4,77.0,High_Risk_Tikka_Disease
Cotton,Vegetative,Rabi,26.6,61.4,Healthy_Low_Risk
Cotton,Yielding,Kharif,31.7,72.2,Healthy_Low_Risk
Cotton,Flowering,Zaid,29.1,56.3,Healthy_Low_Risk
Cotton,Flowering,Rabi,35.9,81.1,Healthy_Low_Risk
Sugarcane,Vegetative,Zaid,36.3,76.2,Healthy_Low_Risk
Cotton,Vegetative,Kharif,23.8,92.0,Healthy_Low_Risk
Sugarcane,Yielding,Zaid,38.6,65.4,Healthy_Low_Risk
Groundnut,Yielding,Kharif,26.2,54.6,Healthy_Low_Risk
Maize,Yielding,Rabi,39.0,90.3,Healthy_Low_Risk
Rice,Flowering,Rabi,35.8,72.0,Healthy_Low_Risk
Groundnut,Flowering,Zaid,26.1,87.7,Healthy_Low_Risk
Cotton,Yielding,Zaid,25.2,53.1,Healthy_Low_Risk
Sugarcane,Flowering,Rabi,30.7,95.5,Healthy_Low_Risk
Groundnut,Vegetative,Rabi,27.1,72.5,Healthy_Low_Risk
Rice,Flowering,Rabi,25.7,95.1,High_Risk_Rice_Blast
Groundnut,Flowering,Kharif,23.3,77.1,Healthy_Low_Risk
Groundnut,Vegetative,Kharif,29.4,86.6,Healthy_Low_Risk
Maize,Vegetative,Rabi,30.8,80.7,Healthy_Low_Risk
Sugarcane,Vegetative,Zaid,25.8,94.3,Healthy_Low_Risk
Cotton,Yielding,Zaid,33.3,87.9,Healthy_Low_Risk
Maize,Yielding,Kharif,24.8,90.0,Healthy_Low_Risk
Groundnut,Yielding,Kharif,26.5,95.8,Healthy_Low_Risk
Sugarcane,Yielding,Rabi,28.5,94.3,Healthy_Low_Risk
Groundnut,Flowering,Zaid,26.7,54.7,Healthy_Low_Risk
Maize,Flowering,Kharif,25.0,78.1,Healthy_Low_Risk
Rice,Flowering,Kharif,22.5,55.0,Healthy_Low_Risk
Cotton,Yielding,Zaid,26.5,54.2,Healthy_Low_Risk
Cotton,Yielding,Kharif,23.4,84.1,Healthy_Low_Risk
Maize,Yielding,Zaid,25.2,75.7,Healthy_Low_Risk
Rice,Flowering,Kharif,25.8,71.9,Healthy_Low_Risk
Sugarcane,Vegetative,Zaid,36.7,62.2,Healthy_Low_Risk
Groundnut,Vegetative,Kharif,30.3,93.6,High_Risk_Tikka_Disease
Sugarcane,Yielding,Kharif,22.2,93.8,High_Risk_Red_Rot
Sugarcane,Yielding,Zaid,24.9,48.5,Healthy_Low_Risk
Groundnut,Vegetative,Zaid,28.3,80.8,Healthy_Low_Risk
Maize,Vegetative,Rabi,22.2,89.0,Healthy_Low_Risk
Cotton,Flowering,Rabi,37.7,89.4,Healthy_Low_Risk
Rice,Yielding,Kharif,37.0,89.1,High_Risk_Bacterial_Blight
Rice,Yielding,Rabi,34.5,75.0,Healthy_Low_Risk
Rice,Flowering,Kharif,28.4,60.2,Healthy_Low_Risk
Maize,Flowering,Rabi,26.3,76.5,Healthy_Low_Risk
Maize,Vegetative,Zaid,32.6,95.5,Healthy_Low_Risk
Groundnut,Flowering,Rabi,37.0,46.1,Healthy_Low_Risk
Cotton,Vegetative,Zaid,34.3,79.1,Healthy_Low_Risk
Cotton,Yielding,Zaid,34.6,77.8,Healthy_Low_Risk
Sugarcane,Flowering,Zaid,25.8,80.7,Healthy_Low_Risk
Groundnut,Vegetative,Zaid,36.4,96.4,High_Risk_Tikka_Disease
Groundnut,Vegetative,Rabi,37.3,47.5,Healthy_Low_Risk
Cotton,Yielding,Zaid,29.6,48.0,Healthy_Low_Risk
Maize,Flowering,Kharif,34.0,70.8,Healthy_Low_Risk
Cotton,Vegetative,Zaid,34.0,88.5,Healthy_Low_Risk
Cotton,Flowering,Kharif,36.1,94.6,Healthy_Low_Risk
Sugarcane,Flowering,Zaid,22.8,86.3,Healthy_Low_Risk
Rice,Yielding,Kharif,32.4,73.0,Healthy_Low_Risk
Rice,Yielding,Kharif,33.2,65.1,Healthy_Low_Risk
Cotton,Yielding,Rabi,40.0,43.2,High_Risk_Whitefly
Groundnut,Vegetative,Rabi,25.9,92.2,Healthy_Low_Risk
Cotton,Flowering,Zaid,28.6,52.4,Healthy_Low_Risk
Rice,Flowering,Zaid,23.7,82.8,Healthy_Low_Risk
Maize,Vegetative,Kharif,26.8,68.8,Healthy_Low_Risk
Rice,Vegetative,Zaid,39.1,86.4,High_Risk_Bacterial_Blight
Sugarcane,Vegetative,Rabi,31.2,50.9,Healthy_Low_Risk
Rice,Vegetative,Rabi,29.5,75.2,Healthy_Low_Risk
Rice,Yielding,Kharif,38.3,66.7,Healthy_Low_Risk
Sugarcane,Yielding,Zaid,38.3,54.9,Healthy_Low_Risk
Rice,Flowering,Kharif,26.6,49.0,Healthy_Low_Risk
Sugarcane,Flowering,Kharif,31.7,83.1,Healthy_Low_Risk
Maize,Yielding,Kharif,29.1,91.6,Healthy_Low_Risk
Groundnut,Yielding,Rabi,35.3,63.0,Healthy_Low_Risk
Cotton,Yielding,Rabi,28.6,82.1,Healthy_Low_Risk
Maize,Yielding,Kharif,22.6,81.1,Healthy_Low_Risk
Cotton,Vegetative,Zaid,24.1,41.7,Healthy_Low_Risk
Maize,Yielding,Zaid,26.3,61.5,Healthy_Low_Risk
Maize,Vegetative,Zaid,35.0,76.0,Healthy_Low_Risk
Rice,Flowering,Zaid,24.8,70.3,Healthy_Low_Risk
Rice,Vegetative,Rabi,24.6,68.8,Healthy_Low_Risk
Rice,Yielding,Rabi,36.7,84.1,High_Risk_Bacterial_Blight
Groundnut,Flowering,Rabi,31.8,71.9,Healthy_Low_Risk
Maize,Vegetative,Rabi,23.3,88.2,Healthy_Low_Risk
Maize,Flowering,Rabi,32.5,78.7,Healthy_Low_Risk
Groundnut,Yielding,Kharif,23.3,82.6,Healthy_Low_Risk
Groundnut,Vegetative,Kharif,30.6,75.9,High_Risk_Tikka_Disease
Groundnut,Flowering,Kharif,27.0,55.5,Healthy_Low_Risk
Rice,Yielding,Rabi,39.0,57.2,Healthy_Low_Risk
Sugarcane,Flowering,Kharif,38.0,97.8,High_Risk_Red_Rot
Sugarcane,Vegetative,Rabi,33.4,75.3,Healthy_Low_Risk
Maize,Yielding,Zaid,28.5,91.0,Healthy_Low_Risk
Sugarcane,Yielding,Zaid,29.1,62.1,Healthy_Low_Risk
Rice,Vegetative,Kharif,23.8,88.1,Healthy_Low_Risk
Sugarcane,Yielding,Kharif,37.5,92.8,High_Risk_Red_Rot
Sugarcane,Flowering,Rabi,23.6,81.0,Healthy_Low_Risk
Groundnut,Vegetative,Kharif,26.2,74.7,Healthy_Low_Risk
Maize,Yielding,Kharif,24.9,58.1,Healthy_Low_Risk
Rice,Flowering,Rabi,34.1,85.7,High_Risk_Bacterial_Blight
Rice,Vegetative,Rabi,27.2,68.7,Healthy_Low_Risk
Groundnut,Flowering,Rabi,25.9,83.6,Healthy_Low_Risk
Cotton,Flowering,Rabi,33.2,54.3,High_Risk_Whitefly
Rice,Flowering,Kharif,23.9,66.8,Healthy_Low_Risk
Maize,Vegetative,Zaid,28.2,56.7,Healthy_Low_Risk
Groundnut,Yielding,Rabi,36.0,59.5,Healthy_Low_Risk
Rice,Vegetative,Zaid,32.4,46.8,Healthy_Low_Risk
Rice,Vegetative,Rabi,34.2,89.9,High_Risk_Bacterial_Blight
Sugarcane,Yielding,Kharif,28.8,78.1,Healthy_Low_Risk
Groundnut,Yielding,Zaid,23.8,64.1,Healthy_Low_Risk
Cotton,Vegetative,Rabi,30.6,87.2,Healthy_Low_Risk
Rice,Flowering,Zaid,23.2,74.6,Healthy_Low_Risk
Maize,Flowering,Rabi,28.8,88.5,Healthy_Low_Risk
Cotton,Flowering,Rabi,22.8,81.1,Healthy_Low_Risk
Groundnut,Vegetative,Rabi,38.4,71.6,Healthy_Low_Risk
Groundnut,Flowering,Kharif,28.7,56.7,Healthy_Low_Risk
Groundnut,Yielding,Rabi,30.2,65.0,Healthy_Low_Risk
Groundnut,Yielding,Kharif,30.9,76.0,High_Risk_Tikka_Disease
Sugarcane,Flowering,Rabi,28.7,60.4,Healthy_Low_Risk
Groundnut,Flowering,Zaid,33.5,50.1,Healthy_Low_Risk
Maize,Yielding,Rabi,24.7,91.3,Healthy_Low_Risk
Cotton,Flowering,Zaid,32.2,85.8,Healthy_Low_Risk
Rice,Flowering,Zaid,37.0,87.6,High_Risk_Bacterial_Blight
Rice,Vegetative,Kharif,37.7,84.4,High_Risk_Bacterial_Blight
Groundnut,Flowering,Rabi,24.4,87.8,Healthy_Low_Risk
Groundnut,Flowering,Kharif,28.7,80.8,Healthy_Low_Risk
Groundnut,Vegetative,Zaid,33.4,59.9,Healthy_Low_Risk
Cotton,Vegetative,Zaid,33.8,83.9,Healthy_Low_Risk
Rice,Vegetative,Kharif,28.3,56.0,Healthy_Low_Risk
Maize,Yielding,Kharif,34.2,60.0,Healthy_Low_Risk
Sugarcane,Yielding,Kharif,30.4,66.0,Healthy_Low_Risk
Sugarcane,Yielding,Zaid,27.5,81.4,Healthy_Low_Risk
Cotton,Yielding,Rabi,34.1,86.5,Healthy_Low_Risk
Groundnut,Vegetative,Rabi,32.1,43.3,Healthy_Low_Risk
Maize,Vegetative,Zaid,27.3,81.2,Healthy_Low_Risk
Cotton,Vegetative,Kharif,31.8,45.0,Healthy_Low_Risk
Groundnut,Vegetative,Kharif,30.1,53.0,Healthy_Low_Risk
Groundnut,Flowering,Zaid,37.5,81.4,High_Risk_Tikka_Disease
Rice,Yielding,Zaid,39.5,77.9,Healthy_Low_Risk
Groundnut,Yielding,Zaid,38.8,73.7,Healthy_Low_Risk
Sugarcane,Yielding,Zaid,30.0,56.4,Healthy_Low_Risk
Rice,Flowering,Kharif,38.8,51.0,Healthy_Low_Risk
Maize,Vegetative,Zaid,22.8,90.5,Healthy_Low_Risk
Cotton,Vegetative,Rabi,27.1,49.4,Healthy_Low_Risk
Rice,Vegetative,Zaid,30.2,71.5,Healthy_Low_Risk
Rice,Yielding,Kharif,30.1,49.0,Healthy_Low_Risk
Maize,Yielding,Kharif,28.6,43.3,Healthy_Low_Risk
Rice,Yielding,Kharif,33.7,52.1,Healthy_Low_Risk
Rice,Flowering,Rabi,24.0,93.9,Healthy_Low_Risk
Sugarcane,Yielding,Rabi,34.4,58.4,Healthy_Low_Risk
Sugarcane,Vegetative,Zaid,28.8,70.1,Healthy_Low_Risk
Sugarcane,Flowering,Kharif,31.8,66.4,Healthy_Low_Risk
Sugarcane,Flowering,Rabi,32.2,71.4,Healthy_Low_Risk
Cotton,Yielding,Kharif,27.1,89.4,Healthy_Low_Risk
Sugarcane,Vegetative,Kharif,23.0,67.2,Healthy_Low_Risk
Sugarcane,Flowering,Zaid,37.0,65.0,Healthy_Low_Risk
Rice,Yielding,Zaid,32.5,73.2,Healthy_Low_Risk
Groundnut,Flowering,Kharif,31.2,90.6,High_Risk_Tikka_Disease
Maize,Yielding,Rabi,29.6,55.9,Healthy_Low_Risk
Rice,Yielding,Rabi,37.9,57.9,Healthy_Low_Risk
Sugarcane,Flowering,Zaid,31.0,77.6,Healthy_Low_Risk
Rice,Flowering,Rabi,23.5,63.0,Healthy_Low_Risk
Cotton,Yielding,Zaid,22.7,82.0,Healthy_Low_Risk
Groundnut,Yielding,Rabi,30.6,40.6,Healthy_Low_Risk
Rice,Vegetative,Zaid,30.0,78.2,Healthy_Low_Risk
Groundnut,Flowering,Rabi,25.3,88.6,Healthy_Low_Risk
Sugarcane,Flowering,Kharif,30.6,42.3,Healthy_Low_Risk
Rice,Yielding,Zaid,28.1,93.6,High_Risk_Rice_Blast
Rice,Yielding,Rabi,24.1,48.5,Healthy_Low_Risk
Maize,Vegetative,Rabi,27.3,69.5,Healthy_Low_Risk
Groundnut,Flowering,Kharif,23.5,51.4,Healthy_Low_Risk
Cotton,Flowering,Rabi,22.4,54.8,Healthy_Low_Risk
Rice,Flowering,Kharif,27.8,73.2,Healthy_Low_Risk
Sugarcane,Yielding,Kharif,27.5,89.8,Healthy_Low_Risk
Groundnut,Flowering,Rabi,29.5,87.3,Healthy_Low_Risk
Maize,Flowering,Zaid,33.4,76.2,Healthy_Low_Risk
Maize,Yielding,Kharif,34.2,96.8,Healthy_Low_Risk
Rice,Flowering,Kharif,24.9,58.4,Healthy_Low_Risk
Groundnut,Vegetative,Rabi,37.7,59.6,Healthy_Low_Risk
Cotton,Yielding,Kharif,32.4,60.5,Healthy_Low_Risk
Groundnut,Yielding,Kharif,28.8,75.8,Healthy_Low_Risk
Maize,Flowering,Rabi,29.0,67.7,Healthy_Low_Risk
Cotton,Flowering,Rabi,32.8,42.5,High_Risk_Whitefly
Groundnut,Vegetative,Kharif,39.7,51.9,Healthy_Low_Risk
Cotton,Flowering,Kharif,38.6,76.4,Healthy_Low_Risk
Rice,Flowering,Kharif,26.9,73.6,Healthy_Low_Risk
Cotton,Vegetative,Rabi,39.8,48.6,High_Risk_Whitefly
Rice,Yielding,Rabi,32.5,61.2,Healthy_Low_Risk
Maize,Yielding,Rabi,31.2,58.6,Healthy_Low_Risk
Sugarcane,Flowering,Rabi,36.5,69.3,Healthy_Low_Risk
Groundnut,Yielding,Zaid,30.9,54.6,Healthy_Low_Risk
Rice,Yielding,Kharif,29.2,93.4,High_Risk_Rice_Blast
Rice,Vegetative,Zaid,32.7,89.9,High_Risk_Bacterial_Blight
Rice,Vegetative,Kharif,34.0,78.8,Healthy_Low_Risk
Rice,Vegetative,Kharif,35.6,60.5,Healthy_Low_Risk
Maize,Flowering,Rabi,29.9,89.4,Healthy_Low_Risk
Groundnut,Yielding,Kharif,35.5,43.1,Healthy_Low_Risk
Rice,Yielding,Zaid,38.6,69.0,Healthy_Low_Risk
Cotton,Flowering,Rabi,36.5,72.7,Healthy_Low_Risk
Maize,Yielding,Zaid,23.2,55.3,Healthy_Low_Risk
Groundnut,Yielding,Zaid,26.6,71.2,Healthy_Low_Risk
Rice,Flowering,Kharif,37.2,61.3,Healthy_Low_Risk
Groundnut,Yielding,Zaid,35.8,91.5,High_Risk_Tikka_Disease
Cotton,Yielding,Kharif,28.6,65.5,Healthy_Low_Risk
Rice,Vegetative,Kharif,24.6,43.5,Healthy_Low_Risk
Sugarcane,Yielding,Rabi,28.0,74.0,Healthy_Low_Risk
Sugarcane,Flowering,Rabi,29.8,80.6,Healthy_Low_Risk
Rice,Vegetative,Rabi,39.6,65.1,Healthy_Low_Risk
